female,wjtest01,wjtest07,wjtest10,age,cutoff,white,black,hispanic,other,freelunch,agexcutoff
0,2,1,9,57,1,0,1,0,0,1,57
1,2,5,0,-296,0,0,0,1,0,0,0
1,4,8,2,-331,0,0,0,1,0,1,0
1,0,4,2,-130,0,0,0,1,0,1,0
0,8,11,7,-32,0,0,1,0,0,1,0
1,9,10,12,-167,0,0,1,0,0,1,0
1,0,5,0,-293,0,0,0,1,0,1,0
0,6,0,0,-276,0,0,0,1,0,1,0
0,2,7,7,-249,0,0,0,1,0,1,0
1,1,7,0,-269,0,0,0,1,0,1,0
1,2,6,0,-167,0,0,0,1,0,1,0
0,,,,-6,0,0,0,1,0,1,0
1,2,8,2,-112,0,0,0,1,0,1,0
1,0,0,0,-215,0,0,0,1,0,1,0
1,1,6,0,-323,0,0,0,1,0,1,0
0,2,7,7,-249,0,0,0,1,0,1,0
1,5,6,10,-180,0,0,1,0,0,1,0
0,1,7,6,-28,0,0,0,1,0,1,0
1,1,5,0,-224,0,0,0,1,0,1,0
1,1,4,3,-227,0,0,1,0,0,1,0
0,0,0,0,-178,0,0,1,0,0,1,0
0,13,14,12,-42,0,0,1,0,0,1,0
0,,,,-176,0,1,0,0,0,1,0
1,1,11,2,-59,0,0,0,1,0,1,0
1,3,4,6,-317,0,1,0,0,0,1,0
1,,,,-190,0,0,0,1,0,1,0
1,,,,-139,0,1,0,0,0,1,0
0,2,4,11,-216,0,1,0,0,0,1,0
1,0,2,0,-40,0,0,0,1,0,1,0
0,2,1,4,-255,0,0,0,0,1,1,0
0,,,,-292,0,0,0,1,0,1,0
1,,,,-225,0,0,1,0,0,1,0
0,,,,-168,0,0,0,1,0,1,0
0,12,10,10,99,1,0,1,0,0,,99
1,13,10,20,336,1,0,1,0,0,1,336
0,15,13,22,128,1,0,1,0,0,1,128
1,8,11,10,65,1,0,0,1,0,,65
0,3,9,14,109,1,0,0,0,1,1,109
0,10,8,2,218,1,0,0,1,0,,218
1,11,7,1,316,1,1,0,0,0,1,316
0,,,,311,1,0,1,0,0,1,311
0,3,7,6,160,1,0,0,1,0,1,160
1,14,10,13,131,1,0,0,0,1,1,131
1,10,7,14,252,1,0,1,0,0,1,252
1,,,,308,1,0,1,0,0,1,308
0,9,10,20,262,1,1,0,0,0,,262
1,4,5,14,93,1,1,0,0,0,1,93
0,,,,183,1,0,1,0,0,1,183
1,,,,163,1,0,1,0,0,1,163
1,10,10,15,206,1,0,0,0,1,1,206
1,5,7,13,86,1,0,1,0,0,1,86
1,12,12,16,335,1,1,0,0,0,,335
1,7,7,11,343,1,0,0,1,0,1,343
0,,,,225,1,0,0,1,0,1,225
1,27,14,20,164,1,0,0,1,0,1,164
0,11,5,14,18,1,0,1,0,0,1,18
0,1,4,1,75,1,0,0,1,0,1,75
0,7,9,17,344,1,0,0,0,1,1,344
0,,,,72,1,0,0,1,0,1,72
1,,,,336,1,1,0,0,0,1,336
1,,,,344,1,0,0,0,1,1,344
1,,,,-94,0,1,0,0,0,1,0
1,5,10,9,-102,0,0,0,0,1,1,0
1,6,7,11,-216,0,0,1,0,0,0,0
1,1,2,3,-341,0,0,0,1,0,1,0
1,2,9,10,-187,0,0,0,1,0,1,0
0,3,1,13,-170,0,1,0,0,0,0,0
0,,,,-20,0,0,0,0,1,1,0
1,3,4,12,-129,0,1,0,0,0,1,0
0,,,,-322,0,0,1,0,0,1,0
1,2,7,8,-64,0,0,0,1,0,1,0
0,0,5,3,-285,0,0,0,1,0,1,0
1,0,1,0,-171,0,0,0,1,0,1,0
0,,,,305,1,0,0,1,0,1,305
1,9,9,14,152,1,0,1,0,0,1,152
0,9,7,15,278,1,0,1,0,0,1,278
0,12,11,15,325,1,0,1,0,0,1,325
1,7,4,10,84,1,0,1,0,0,1,84
1,10,12,11,248,1,0,0,1,0,1,248
0,2,3,10,279,1,0,1,0,0,1,279
1,5,9,16,354,1,0,1,0,0,1,354
1,,,,329,1,0,1,0,0,1,329
0,4,7,12,328,1,0,1,0,0,1,328
1,8,11,13,359,1,0,1,0,0,1,359
0,,,,2,1,0,1,0,0,1,2
0,3,,10,-69,0,0,0,1,0,1,0
0,,,,-195,0,0,0,1,0,1,0
1,7,,10,-327,0,1,0,0,0,1,0
0,4,4,8,-214,0,0,1,0,0,1,0
1,3,6,9,-221,0,0,1,0,0,1,0
0,8,,9,-286,0,0,1,0,0,1,0
0,2,,9,-88,0,0,0,0,1,1,0
1,2,,11,-289,0,1,0,0,0,1,0
1,4,7,10,-243,0,0,1,0,0,1,0
1,8,,16,-205,0,0,0,0,1,1,0
