ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
.15000001,67359,.41999999,.67900002,1,.63,.764
.19,50725,.30000001,.76899999,1,.79000002,.63599998
.2,46948,.36000001,.71899998,1,.72000003,.87900001
.20999999,52007,.40000001,.67900002,1,.66000003,.70200002
.12,69880,.41,1,1,.67000002,.583
.19,51074,.25999999,.82300001,1,.80000001,.745
.31999999,34934,.76999998,.23199999,0,.17,-.38299999
.15000001,61927,.44,.662,1,.66000003,.62
.22,43974,.23999999,.83999997,1,.64999998,.70999998
.2,52246,.36000001,.741,1,.67000002,.61799997
.19,40550,.23,1,1,.74000001,.74900001
.16,52563,.33000001,.75999999,1,.62,1.293
.44999999,31952,.60000002,.42699999,0,.2,-.32300001
.31999999,35027,.66000003,.38600001,0,.17,-.32100001
.23,42936,.31999999,.62800002,1,.70999998,.69099998
.38999999,34268,.76999998,.28,0,.2,-.46799999
.20999999,39296,.27000001,.80299997,1,.63,.80299997
.37,35616,.63,.35100001,0,.23,-.30399999
.11,59432,.41,.71200001,1,.68000001,.60399997
.14,70568,.41,.69400001,1,.61000001,.66799998
.25,41326,.50999999,.52600002,1,.30000001,.634
.14,57552,.44,1,1,.63999999,.713
.25999999,47004,.58999997,.45899999,0,.52999997,-.43399999
.19,61387,.41,.68599999,1,.66000003,.86500001
.37,35721,.52999997,.50400001,1,.28,.68599999
.38999999,36106,.56,.42699999,0,.2,-.192
.34999999,36908,.62,.345,0,.22,-.322
.41999999,36727,.81999999,.222,0,.22,-.45699999
.15000001,54977,.41999999,1,1,.66000003,.53600001
.25,50008,.46000001,.64200002,1,.5,.79799998
.12,54988,.33000001,.74299997,1,.82999998,.745
.12,54479,.38999999,.477,0,.88,-.085000001
.12,55827,.28999999,.759,1,.85000002,.963
.13,49907,.68000001,.331,0,.95999998,-.47400001
.1,65395,.47999999,.64700001,1,.75,.58499998
.12,56318,.50999999,.55500001,1,.67000002,.73100001
.30000001,40817,.75999999,.28,0,.38,-.417
.14,56813,.5,.62400001,1,.62,.58700001
.22,41367,.47999999,.51899999,1,.72000003,.78799999
.18000001,44950,.41999999,1,1,.85000002,.75199997
.090000004,64205,.46000001,.63499999,1,.77999997,.76099998
.12,90662,.69,.37900001,0,.56999999,-.33700001
.23999999,35081,.40000001,.52499998,1,.93000001,.85699999
.059999999,93701,.52999997,.64399999,1,.76999998,.509
.059999999,103664,.56999999,.498,0,.67000002,-.27000001
.1,71469,.62,.42300001,0,.81999999,-.38
,,,,,,-.28099999
.13,54910,.56,.48899999,0,.86000001,-.329
.18000001,52726,.51999998,.52999997,1,.88,.722
.25999999,44541,.40000001,.676,1,.68000001,.588
.19,44147,.46000001,.63700002,1,.88,.59799999
.20999999,46614,.56999999,.419,0,.77999997,-.289
.11,57743,.83999997,0,0,.67000002,-.722
.079999998,80445,.56999999,.51999998,1,.81999999,.47999999
.19,54255,.58999997,.45199999,0,.73000002,-.25299999
